T [K],Ms [Am2/kg],Mr [Am2/kg],Bc [mT],Brh [mT],Xhf [m3/kg],M_offset [Am2/kg],B_offset [mT],Q,Qf,sigma,Fnl_70,alpha,beta
300,1.39E-02,9.01E-03,439.833,976.007,7.92E-08,-3.91E-04,-6.50E+00,2.43,2.02,0.37,19103.3609,0,-1
10,1.98E+00,1.19E-02,22.76,-5017.522,6.39E-07,-4.88E-03,-5.46E+00,3.2,3.72,-0.12,29861.20712,-2.450068041,-1
50,2.90E-02,9.82E-03,306.801,2084.337,3.47E-07,-1.19E-03,-6.36E+00,2.99,2.17,0.39,15851.32779,-0.011637348,-2
100,1.62E-02,9.15E-03,515.975,1468.61,1.98E-07,-9.92E-04,-8.75E+00,3.1,2.05,0.35,24494.45163,0,-1
150,1.43E-02,8.73E-03,716.436,1430.218,1.41E-07,-1.89E-04,-5.93E+00,2.9,2.19,0.27,10617.91752,0,-1
200,1.36E-02,9.30E-03,506.639,1183.592,1.11E-07,-1.25E-04,-6.64E+00,2.79,1.97,0.39,25282.17572,0,-1
250,1.40E-02,8.34E-03,472.091,654.9,9.21E-08,9.98E-04,8.89E+00,2.7,2.02,0.38,9009.453374,0,-1
