T [K],Ms [Am2/kg],Mr [Am2/kg],Bc [mT],Brh [mT],Xhf [m3/kg],M_offset [Am2/kg],B_offset [mT],Q,Qf,sigma,Fnl_70,alpha,beta
300,2.43E-02,1.45E-02,484.376,937.124,8.79E-08,-2.16E-03,-2.87E+01,2.36,2.21,0.25,6343.431978,0,-1
10,2.25E+00,1.70E-02,28.841,2025.437,6.64E-07,-1.17E-02,-1.17E+01,3.04,3.5,-0.18,30492.51163,-2.738714147,-1
50,3.44E-01,8.57E-03,41.175,4449.738,3.11E-07,-1.80E-01,-5.85E+02,1.67,2.18,N/A,4690.876461,-0.542747844,-1
100,2.84E-02,1.48E-02,534.735,1229.651,2.15E-07,6.16E-05,-3.63E+00,3.07,2.25,0.22,15374.56293,0,-1
150,2.32E-02,1.49E-02,711.547,1259.017,1.55E-07,4.08E-04,-1.24E+00,2.65,2.13,0.17,20205.91719,0,-1
200,2.27E-02,1.50E-02,701.228,1144.755,1.22E-07,-1.71E-05,-4.78E+00,2.44,1.9,0.17,1101.504317,0,-1
250,5.42E-02,1.56E-02,434.302,912.107,9.70E-08,-1.35E-03,-1.87E+01,2.42,2.35,-0.02,2186.401865,-0.058249678,-1
