X,Temp (K),X,M_loop_raw,X,Mf,X,M_grid,X,Mrh,X,Mih,X,Mf_fit,X,M_err,X,Mbf_dot
,250,5.022807,0.434070315,5.017,0.018040672,5.017,0.433403198,5.017,-0.000295715,5.017,0.018336387,,,5.012005475,0.000343399,,
,250,5.017806749,0.433682451,5.012005475,0.018078219,5.012005475,0.433015452,5.012005475,-0.000272717,5.012005475,0.018350936,,,5.007010951,0.000331266,,
,250,5.012806497,0.433294498,5.007010951,0.018115716,5.007010951,0.432627419,5.007010951,-0.000224145,5.007010951,0.018339861,,,5.002016426,0.000318897,,
,250,5.007806246,0.432906367,5.002016426,0.018153072,5.002016426,0.432239012,5.002016426,-0.000179358,5.002016426,0.01833243,,,4.997021901,0.000306293,,
,250,5.002805995,0.43251797,4.997021901,0.018190197,4.997021901,0.431850141,4.997021901,-0.000135336,4.997021901,0.018325533,,,4.992027377,0.000293458,,
,250,4.997805743,0.432129216,4.992027377,0.018226999,4.992027377,0.431460718,4.992027377,-9.41E-05,4.992027377,0.018321091,,,4.987032852,0.000280392,,
,250,4.992805492,0.431740019,4.987032852,0.018263389,4.987032852,0.431070655,4.987032852,-5.07E-05,4.987032852,0.018314127,,,4.982038328,0.000267099,,
,250,4.98780524,0.431350287,4.982038328,0.018299275,4.982038328,0.430679863,4.982038328,-1.14E-05,4.982038328,0.018310723,,,4.977043803,0.000253581,,
,250,4.982804989,0.430959933,4.977043803,0.018334566,4.977043803,0.430288253,4.977043803,2.59E-05,4.977043803,0.018308642,,,4.972049278,0.00023984,,
,250,4.977804738,0.430568868,4.972049278,0.018369171,4.972049278,0.429895736,4.972049278,6.07E-05,4.972049278,0.018308436,,,4.967054754,0.000225878,,
,250,4.972804486,0.430177003,4.967054754,0.018403,4.967054754,0.429502225,4.967054754,9.26E-05,4.967054754,0.018310374,,,4.962060229,0.000211698,,
,250,4.967804235,0.429784248,4.962060229,0.018435961,4.962060229,0.42910763,4.962060229,0.000121237,4.962060229,0.018314724,,,4.957065704,0.000197301,,
,250,4.962803984,0.429390516,4.957065704,0.018467965,4.957065704,0.428711862,4.957065704,0.000146211,4.957065704,0.018321755,,,4.95207118,0.00018269,,
,250,4.957803732,0.428995716,4.95207118,0.018498925,4.95207118,0.428314834,4.95207118,0.000167188,4.95207118,0.018331736,,,4.947076655,0.000167868,,
,250,4.952803481,0.428599761,4.947076655,0.018528762,4.947076655,0.427916456,4.947076655,0.000183818,4.947076655,0.018344944,,,4.94208213,0.000152836,,
,250,4.947803229,0.42820256,4.94208213,0.018557396,4.94208213,0.427516641,4.94208213,0.000195744,4.94208213,0.018361652,,,4.937087606,0.000137596,,
,250,4.942802978,0.427804026,4.937087606,0.018584714,4.937087606,0.427115298,4.937087606,0.000202595,4.937087606,0.018382119,,,4.932093081,0.000122152,,
,250,4.937802727,0.427404069,4.932093081,0.018610564,4.932093081,0.42671234,4.932093081,0.000203966,4.932093081,0.018406598,,,4.927098556,0.00010651,,
,250,4.932802475,0.427002601,4.927098556,0.018634766,4.927098556,0.426307684,4.927098556,0.000199384,4.927098556,0.018435382,,,4.922104032,9.07E-05,,
,250,4.927802224,0.426599532,4.922104032,0.018657164,4.922104032,0.425901293,4.922104032,0.000188401,4.922104032,0.018468763,,,4.917109507,7.50E-05,,
,250,4.922801973,0.426194774,4.917109507,0.018677718,4.917109507,0.42549326,4.917109507,0.000170721,4.917109507,0.018506997,,,4.912114983,5.95E-05,,
,250,4.917801721,0.425788261,4.912114983,0.018696435,4.912114983,0.425083715,4.912114983,0.000146244,4.912114983,0.018550191,,,4.907120458,4.44E-05,,
,250,4.91280147,0.425380074,4.907120458,0.018713335,4.907120458,0.424672793,4.907120458,0.000115094,4.907120458,0.018598241,,,4.902125933,2.98E-05,,
,250,4.907801219,0.424970346,4.902125933,0.018728471,4.902125933,0.424260626,4.902125933,7.76E-05,4.902125933,0.018650831,,,4.897131409,1.57E-05,,
,250,4.902800967,0.42455921,4.897131409,0.018741929,4.897131409,0.423847346,4.897131409,3.45E-05,4.897131409,0.018707442,,,4.892136884,2.13E-06,,
,250,4.897800716,0.424146799,4.892136884,0.018753811,4.892136884,0.423433087,4.892136884,-1.36E-05,4.892136884,0.018767387,,,4.887142359,-1.09E-05,,
,250,4.892800464,0.423733247,4.887142359,0.018764219,4.887142359,0.423017982,4.887142359,-6.56E-05,4.887142359,0.018829862,,,4.882147835,-2.32E-05,,
,250,4.887800213,0.423318687,4.882147835,0.018773245,4.882147835,0.422602163,4.882147835,-0.00012079,4.882147835,0.018894035,,,4.87715331,-3.49E-05,,
,250,4.882799962,0.422903252,4.87715331,0.018780979,4.87715331,0.422185762,4.87715331,-0.000178148,4.87715331,0.018959127,,,4.872158785,-4.59E-05,,
,250,4.87779971,0.422487075,4.872158785,0.018787514,4.872158785,0.421768914,4.872158785,-0.000236867,4.872158785,0.01902438,,,4.867164261,-5.61E-05,,
,250,4.872799459,0.42207029,4.867164261,0.01879294,4.867164261,0.421351751,4.867164261,-0.000296096,4.867164261,0.019089036,,,4.862169736,-6.55E-05,,
,250,4.867799208,0.42165303,4.862169736,0.018797349,4.862169736,0.420934404,4.862169736,-0.000354987,4.862169736,0.019152336,,,4.857175212,-7.41E-05,,
,250,4.862798956,0.421235428,4.857175212,0.018800832,4.857175212,0.420517009,4.857175212,-0.00041269,4.857175212,0.019213522,,,4.852180687,-8.18E-05,,
,250,4.857798705,0.420817618,4.852180687,0.018803477,4.852180687,0.420099696,4.852180687,-0.000468356,4.852180687,0.019271833,,,4.847186162,-8.86E-05,,
,250,4.852798453,0.420399733,4.847186162,0.018805362,4.847186162,0.419682599,4.847186162,-0.000521143,4.847186162,0.019326505,,,4.842191638,-9.45E-05,,
,250,4.847798202,0.419981905,4.842191638,0.018806569,4.842191638,0.419265852,4.842191638,-0.000570206,4.842191638,0.019376775,,,4.837197113,-9.93E-05,,
,250,4.842797951,0.419564269,4.837197113,0.018807201,4.837197113,0.418849585,4.837197113,-0.000614689,4.837197113,0.01942189,,,4.832202588,-0.00010312,,
,250,4.837797699,0.419146958,4.832202588,0.018807401,4.832202588,0.418433933,4.832202588,-0.000653703,4.832202588,0.019461104,,,4.827208064,-0.00010584,,
,250,4.832797448,0.418730105,4.827208064,0.018807346,4.827208064,0.418019025,4.827208064,-0.000686262,4.827208064,0.019493608,,,4.822213539,-0.000107482,,
,250,4.827797197,0.418313842,4.822213539,0.018807211,4.822213539,0.417604951,4.822213539,-0.000711379,4.822213539,0.01951859,,,4.817219014,-0.000108173,,
,250,4.822796945,0.417898304,4.817219014,0.018807073,4.817219014,0.417191675,4.817219014,-0.000728262,4.817219014,0.019535335,,,4.81222449,-0.000108093,,
