X,Temp (K),X,M_loop_raw,X,Mf,X,M_grid,X,Mrh,X,Mih,X,Mf_fit,X,M_err,X,Mbf_dot
,250,4.855706085,0.41749322,4.837608955,0.042528383,4.837608955,0.415686472,4.837608955,0.001526592,4.837608955,0.041001791,,,4.832626866,-0.000228266,,
,250,4.850705587,0.417063275,4.832626866,0.04250596,4.832626866,0.415264861,4.832626866,0.00151712,4.832626866,0.04098884,,,4.827644776,-0.000242805,,
,250,4.84570509,0.416633064,4.827644776,0.042482303,4.827644776,0.414844829,4.827644776,0.001507012,4.827644776,0.040975291,,,4.822662687,-0.000254589,,
,250,4.840704592,0.41620299,4.822662687,0.042457728,4.822662687,0.414426244,4.822662687,0.001496488,4.822662687,0.040961239,,,4.817680597,-0.000264028,,
,250,4.835704095,0.415773454,4.817680597,0.042432555,4.817680597,0.414008975,4.817680597,0.001485741,4.817680597,0.040946814,,,4.812698507,-0.000271536,,
,250,4.830703597,0.415344858,4.812698507,0.042407064,4.812698507,0.413592891,4.812698507,0.001474923,4.812698507,0.040932141,,,4.807716418,-0.000277522,,
,250,4.8257031,0.414917606,4.807716418,0.04238149,4.807716418,0.413177859,4.807716418,0.001464169,4.807716418,0.040917321,,,4.802734328,-0.000282399,,
,250,4.820702602,0.414492068,4.802734328,0.042356018,4.802734328,0.412763748,4.802734328,0.001453601,4.802734328,0.040902417,,,4.797752239,-0.000286533,,
,250,4.815702104,0.414068299,4.797752239,0.042330789,4.797752239,0.412350426,4.797752239,0.001443331,4.797752239,0.040887458,,,4.792770149,-0.000290156,,
,250,4.810701607,0.41364617,4.792770149,0.042305894,4.792770149,0.411937762,4.792770149,0.001433454,4.792770149,0.04087244,,,4.78778806,-0.000293442,,
,250,4.805701109,0.413225547,4.78778806,0.042281387,4.78778806,0.411525625,4.78778806,0.001424056,4.78778806,0.040857332,,,4.78280597,-0.000296562,,
,250,4.800700612,0.412806296,4.78280597,0.042257297,4.78280597,0.411113882,4.78280597,0.001415216,4.78280597,0.040842081,,,4.777823881,-0.000299683,,
,250,4.795700114,0.412388286,4.777823881,0.042233646,4.777823881,0.410702402,4.777823881,0.001407017,4.777823881,0.040826629,,,4.772841791,-0.000302974,,
,250,4.790699617,0.411971382,4.772841791,0.042210466,4.772841791,0.410291054,4.772841791,0.001399549,4.772841791,0.040810917,,,4.767859701,-0.000306605,,
,250,4.785699119,0.411555452,4.767859701,0.042187799,4.767859701,0.409879706,4.767859701,0.001392905,4.767859701,0.040794894,,,4.762877612,-0.000310743,,
,250,4.780698622,0.411140363,4.762877612,0.042165695,4.762877612,0.409468226,4.762877612,0.001387179,4.762877612,0.040778516,,,4.757895522,-0.000315558,,
,250,4.775698124,0.410725981,4.757895522,0.042144206,4.757895522,0.409056483,4.757895522,0.001382465,4.757895522,0.040761741,,,4.752913433,-0.000321219,,
,250,4.770697627,0.410312174,4.752913433,0.042123356,4.752913433,0.408644345,4.752913433,0.001378834,4.752913433,0.040744522,,,4.747931343,-0.000327893,,
,250,4.765697129,0.409898809,4.747931343,0.042103132,4.747931343,0.40823168,4.747931343,0.001376342,4.747931343,0.04072679,,,4.742949254,-0.000335748,,
,250,4.760696632,0.409485752,4.742949254,0.042083473,4.742949254,0.407818361,4.742949254,0.001375038,4.742949254,0.040708435,,,4.737967164,-0.0003449,,
,250,4.755696134,0.40907287,4.737967164,0.042064311,4.737967164,0.407404306,4.737967164,0.00137495,4.737967164,0.04068936,,,4.732985075,-0.000355331,,
,250,4.750695637,0.408660031,4.732985075,0.042045661,4.732985075,0.40698957,4.732985075,0.001376086,4.732985075,0.040669575,,,4.728002985,-0.000366942,,
,250,4.745695139,0.408247101,4.728002985,0.04202758,4.728002985,0.406574292,4.728002985,0.001378463,4.728002985,0.040649117,,,4.723020896,-0.000379632,,
