X,Temp (K),X,M_loop_raw,X,Mf,X,M_grid,X,Mrh,X,Mih,X,Mf_fit,X,M_err,X,Mbf_dot
,250,5.025835,0.381387037,5.017,0.012681697,5.017,0.380392669,5.017,0.000387723,5.017,0.012293974,,,5.01200796,-0.000328234,,
,250,5.020834447,0.381133673,5.01200796,0.012794257,5.01200796,0.380139347,5.01200796,0.000436798,5.01200796,0.012357459,,,5.00701592,-0.000310125,,
,250,5.015833894,0.380879919,5.00701592,0.012906816,5.00701592,0.379886025,5.00701592,0.000485922,5.00701592,0.012420895,,,5.002023881,-0.000291355,,
,250,5.01083334,0.380625385,5.002023881,0.013289674,5.002023881,0.379631937,5.002023881,0.000670295,5.002023881,0.012619379,,,4.997031841,-0.000272018,,
,250,5.005832787,0.380369681,4.997031841,0.013380674,4.997031841,0.379376687,4.997031841,0.00070889,4.997031841,0.012671784,,,4.992039801,-0.000252205,,
,250,5.000832234,0.380112416,4.992039801,0.013469738,4.992039801,0.37911989,4.992039801,0.000746719,4.992039801,0.012723019,,,4.987047761,-0.000232006,,
,250,4.995831681,0.379853201,4.987047761,0.013556569,4.987047761,0.378861155,4.987047761,0.000783686,4.987047761,0.012772884,,,4.982055721,-0.00021151,,
,250,4.990831127,0.379591645,4.982055721,0.013640869,4.982055721,0.378600097,4.982055721,0.00081969,4.982055721,0.012821179,,,4.977063682,-0.000190807,,
,250,4.985830574,0.379327358,4.977063682,0.01372234,4.977063682,0.378336325,4.977063682,0.000854635,4.977063682,0.012867705,,,4.972071642,-0.000169988,,
,250,4.980830021,0.379059951,4.972071642,0.013800684,4.972071642,0.378069452,4.972071642,0.000888422,4.972071642,0.012912262,,,4.967079602,-0.000149143,,
,250,4.975829468,0.378789032,4.967079602,0.013875601,4.967079602,0.37779909,4.967079602,0.000920953,4.967079602,0.012954648,,,4.962087562,-0.000128361,,
,250,4.970828914,0.378514213,4.962087562,0.013946795,4.962087562,0.377524851,4.962087562,0.00095213,4.962087562,0.012994666,,,4.957095522,-0.000107732,,
