X,Temp (K),X,M_loop_raw,X,Mf,X,M_grid,X,Mrh,X,Mih,X,Mf_fit,X,M_err,X,Mbf_dot
,250,5.022698,0.400493534,5.017,0.023267013,5.017,0.399794846,5.017,0.000382002,5.017,0.02288501,,,5.012005475,0.000276672,,
,250,5.017697858,0.400146433,5.012005475,0.023294813,5.012005475,0.399447805,5.012005475,0.000370844,5.012005475,0.022923969,,,5.007010951,0.00026572,,
,250,5.012697716,0.399799242,5.007010951,0.023322326,5.007010951,0.399100477,5.007010951,0.000359709,5.007010951,0.022962617,,,5.002016426,0.000254584,,
,250,5.007697574,0.399451872,5.002016426,0.023106357,5.002016426,0.398752772,5.002016426,0.000227051,5.002016426,0.022879306,,,4.997021901,0.000243306,,
,250,5.002697433,0.399104234,4.997021901,0.023144322,4.997021901,0.3984046,4.997021901,0.00022163,4.997021901,0.022922692,,,4.992027377,0.000231927,,
,250,4.997697291,0.398756239,4.992027377,0.023181791,4.992027377,0.398055873,4.992027377,0.000216282,4.992027377,0.022965509,,,4.987032852,0.000220489,,
,250,4.992697149,0.398407796,4.987032852,0.023218633,4.987032852,0.397706502,4.987032852,0.000210993,4.987032852,0.02300764,,,4.982038328,0.000209034,,
,250,4.987697007,0.398058817,4.982038328,0.023254717,4.982038328,0.397356397,4.982038328,0.00020575,4.982038328,0.023048967,,,4.977043803,0.000197603,,
,250,4.982696865,0.397709211,4.977043803,0.023289912,4.977043803,0.397005469,4.977043803,0.000200539,4.977043803,0.023089373,,,4.972049278,0.000186238,,
,250,4.977696723,0.397358891,4.972049278,0.023324088,4.972049278,0.39665363,4.972049278,0.000195346,4.972049278,0.023128743,,,4.967054754,0.00017498,,
,250,4.972696581,0.397007765,4.967054754,0.023357114,4.967054754,0.39630079,4.967054754,0.000190157,4.967054754,0.023166958,,,4.962060229,0.000163871,,
,250,4.96769644,0.396655745,4.962060229,0.023388859,4.962060229,0.39594686,4.962060229,0.000184958,4.962060229,0.023203901,,,4.957065704,0.000152954,,
,250,4.962696298,0.396302741,4.957065704,0.023419193,4.957065704,0.39559175,4.957065704,0.000179736,4.957065704,0.023239457,,,4.95207118,0.000142268,,
,250,4.957696156,0.395948665,4.95207118,0.023447984,4.95207118,0.395235372,4.95207118,0.000174476,4.95207118,0.023273508,,,4.947076655,0.000131857,,
,250,4.952696014,0.395593425,4.947076655,0.023475101,4.947076655,0.394877637,4.947076655,0.000169166,4.947076655,0.023305936,,,4.94208213,0.000121762,,
,250,4.947695872,0.395236934,4.94208213,0.023500408,4.94208213,0.394518455,4.94208213,0.000163787,4.94208213,0.023336621,,,4.937087606,0.000112024,,
,250,4.94269573,0.394879101,4.937087606,0.023523747,4.937087606,0.394157738,4.937087606,0.000158313,4.937087606,0.023365435,,,4.932093081,0.000102685,,
,250,4.937695588,0.394519838,4.932093081,0.023544938,4.932093081,0.393795395,4.932093081,0.000152705,4.932093081,0.023392233,,,4.927098556,9.38E-05,,
,250,4.932695446,0.394159054,4.927098556,0.023563795,4.927098556,0.393431342,4.927098556,0.00014692,4.927098556,0.023416875,,,4.922104032,8.54E-05,,
,250,4.927695305,0.39379666,4.922104032,0.023580191,4.922104032,0.39306553,4.922104032,0.000140927,4.922104032,0.023439264,,,4.917109507,7.78E-05,,
,250,4.922695163,0.393432567,4.917109507,0.023594118,4.917109507,0.392698008,4.917109507,0.000134709,4.917109507,0.023459409,,,4.912114983,7.10E-05,,
,250,4.917695021,0.393066703,4.912114983,0.023605625,4.912114983,0.392328857,4.912114983,0.000128259,4.912114983,0.023477366,,,4.907120458,6.53E-05,,
,250,4.912694879,0.392699107,4.907120458,0.023614794,4.907120458,0.391958161,4.907120458,0.000121588,4.907120458,0.023493206,,,4.902125933,6.05E-05,,
,250,4.907694737,0.392329863,4.902125933,0.023621746,4.902125933,0.391586002,4.902125933,0.000114727,4.902125933,0.023507019,,,4.897131409,5.64E-05,,
,250,4.902694595,0.391959052,4.897131409,0.023626651,4.897131409,0.391212465,4.897131409,0.00010773,4.897131409,0.023518921,,,4.892136884,5.31E-05,,
,250,4.897694453,0.391586759,4.892136884,0.023629711,4.892136884,0.390837631,4.892136884,0.000100669,4.892136884,0.023529043,,,4.887142359,5.03E-05,,
,250,4.892694312,0.391213067,4.887142359,0.02363113,4.887142359,0.390461584,4.887142359,9.36E-05,4.887142359,0.023537516,,,4.882147835,4.79E-05,,
,250,4.88769417,0.390838059,4.882147835,0.023631111,4.882147835,0.390084407,4.882147835,8.66E-05,4.882147835,0.023544475,,,4.87715331,4.58E-05,,
,250,4.882694028,0.390461819,4.87715331,0.023629859,4.87715331,0.389706182,4.87715331,7.98E-05,4.87715331,0.023550049,,,4.872158785,4.39E-05,,
,250,4.877693886,0.390084429,4.872158785,0.023627577,4.872158785,0.389326993,4.872158785,7.32E-05,4.872158785,0.023554373,,,4.867164261,4.21E-05,,
,250,4.872693744,0.389705972,4.867164261,0.02362447,4.867164261,0.388946922,4.867164261,6.69E-05,4.867164261,0.023557578,,,4.862169736,4.02E-05,,
,250,4.867693602,0.389326533,4.862169736,0.023620741,4.862169736,0.388566053,4.862169736,6.09E-05,4.862169736,0.023559796,,,4.857175212,3.81E-05,,
,250,4.86269346,0.388946194,4.857175212,0.023616595,4.857175212,0.388184468,4.857175212,5.54E-05,4.857175212,0.02356116,,,4.852180687,3.58E-05,,
,250,4.857693319,0.388565039,4.852180687,0.023612235,4.852180687,0.387802251,4.852180687,5.04E-05,4.852180687,0.023561801,,,4.847186162,3.30E-05,,
,250,4.852693177,0.38818315,4.847186162,0.023607865,4.847186162,0.387419484,4.847186162,4.60E-05,4.847186162,0.023561852,,,4.842191638,2.97E-05,,
,250,4.847693035,0.387800612,4.842191638,0.023603689,4.842191638,0.38703625,4.842191638,4.22E-05,4.842191638,0.023561446,,,4.837197113,2.57E-05,,
,250,4.842692893,0.387417507,4.837197113,0.023599913,4.837197113,0.386652633,4.837197113,3.92E-05,4.837197113,0.023560715,,,4.832202588,2.10E-05,,
