T [K],Ms [Am2/kg],Mr [Am2/kg],Bc [mT],Brh [mT],Xhf [m3/kg],M_offset [Am2/kg],B_offset [mT],Q,Qf,sigma,Fnl_70,alpha,beta
300,2.42E-02,1.18E-02,416.471,764.599,8.12E-08,6.82E-04,6.61E+00,2.19,2.14,0.04,138.4088764,-0.011808202,-2
10,2.01E+00,1.77E-02,32.04,1268.195,6.46E-07,-1.72E-02,-1.84E+01,2.65,3.15,-0.62,60868.95579,-2.469675046,-1
50,5.11E-02,1.31E-02,252.036,1222.437,3.49E-07,9.32E-04,7.81E-01,3.1,2.8,0.18,489.2125929,-0.044747522,-2
100,2.61E-02,1.26E-02,480.956,1215.743,2.02E-07,-1.01E-04,-3.80E+00,3.43,3.1,0.17,14296.86203,0,-1
150,2.26E-02,1.21E-02,530.768,1089.293,1.45E-07,4.52E-04,-9.72E-01,3.26,2.87,0.14,2472.838995,0,-2
200,2.28E-02,1.20E-02,529.03,979.615,1.14E-07,1.39E-04,-3.43E+00,3.32,3,0.11,5698.549387,-0.006999296,-2
250,2.52E-02,1.24E-02,472.872,835.593,9.43E-08,-7.50E-05,-5.45E+00,3.17,3.02,0.05,3375.887147,-0.007166733,-1
