,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,BRa,,,,,,,,,,,,,,,,,,,,,
site_name,Freda Sandstone along Bad River (section a),,,,,,,,,,,,,,,,,,,,,
site_lat,46.38518183,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-90.63366668,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0.0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,mag compass orientation (IGRF corrected),1.2,66,18.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,63.9,nan
.2a,mag compass orientation (IGRF corrected),1.4,79,53.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,76.9,nan
.3a,mag compass orientation (IGRF corrected),1.7,134,40.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,131.9,nan
.4a,mag compass orientation (IGRF corrected),1.9,116,17.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,113.9,nan
.5a,mag compass orientation (IGRF corrected),2.1,49,36.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,46.9,nan
.6a,mag compass orientation (IGRF corrected),2.7,3,33.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,0.9,nan
.7a,mag compass orientation (IGRF corrected),3.8,209,72.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,206.9,nan
.8a,mag compass orientation (IGRF corrected),4.2,139,20.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,136.9,nan
.9a,mag compass orientation (IGRF corrected),4.7,121,44.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,118.9,nan
.10a,mag compass orientation (IGRF corrected),4.9,82,22.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,79.9,nan
.11a,mag compass orientation (IGRF corrected),4.6,101,25.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,98.9,nan
.12a,mag compass orientation (IGRF corrected),4.85,103,28.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,100.9,nan
.13a,mag compass orientation (IGRF corrected),5.2,26,24.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,23.9,nan
.14a,mag compass orientation (IGRF corrected),5.8,189,55.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,186.9,nan
.15a,sun compass orientation,7.1,166,7.0,211.2,73.1,no,164.0,-5.0,2016.0,8.0,4.0,13.0,14.0,1.0,nan,166.7,[357.86578465159499; 72.60796041780165; 55855.011425340075],-2.13421534841,0.7,166.7,nan
.16a,mag compass orientation (IGRF corrected),7.7,208,65.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86586674679086; 72.608045694029173; 55855.173984528796],-2.13413325321,insufficient data,205.9,nan
