T [K],X'(1.0Hz),"X""'(1.0Hz)",X'(10.0Hz),"X""'(10.0Hz)",X'(99.9Hz),"X""'(99.9Hz)"
164.9975,1.01E-07,-7.09E-08,9.96E-08,-7.07E-08,9.82E-08,-7.00E-08
169.9973,9.92E-08,-6.83E-08,9.78E-08,-6.85E-08,9.64E-08,-6.82E-08
174.9951,9.73E-08,-6.66E-08,9.62E-08,-6.64E-08,9.44E-08,-6.66E-08
179.9975,9.58E-08,-6.43E-08,9.47E-08,-6.49E-08,9.32E-08,-6.47E-08
184.9961,9.47E-08,-6.30E-08,9.31E-08,-6.31E-08,9.15E-08,-6.26E-08
189.997,9.34E-08,-6.12E-08,9.15E-08,-6.13E-08,9.06E-08,-6.11E-08
194.9988,9.20E-08,-5.96E-08,9.05E-08,-5.97E-08,8.93E-08,-5.94E-08
199.9992,9.09E-08,-5.81E-08,8.95E-08,-5.83E-08,8.80E-08,-5.80E-08
204.995,8.98E-08,-5.67E-08,8.83E-08,-5.66E-08,8.68E-08,-5.66E-08
209.9955,8.85E-08,-5.51E-08,8.71E-08,-5.54E-08,8.62E-08,-5.53E-08
214.9951,8.78E-08,-5.43E-08,8.64E-08,-5.40E-08,8.52E-08,-5.42E-08
219.9958,8.67E-08,-5.24E-08,8.54E-08,-5.29E-08,8.36E-08,-5.28E-08
224.9949,8.58E-08,-5.19E-08,8.47E-08,-5.18E-08,8.35E-08,-5.14E-08
229.9976,8.57E-08,-5.02E-08,8.37E-08,-5.06E-08,8.27E-08,-5.05E-08
234.9914,8.45E-08,-4.95E-08,8.29E-08,-4.94E-08,8.19E-08,-4.92E-08
239.996,8.32E-08,-4.86E-08,8.22E-08,-4.84E-08,8.07E-08,-4.82E-08
244.994,8.30E-08,-4.74E-08,8.14E-08,-4.72E-08,8.03E-08,-4.72E-08
249.9957,8.20E-08,-4.64E-08,8.08E-08,-4.61E-08,7.97E-08,-4.64E-08
254.9964,8.16E-08,-4.53E-08,8.03E-08,-4.55E-08,7.88E-08,-4.54E-08
259.9916,8.13E-08,-4.43E-08,8.00E-08,-4.45E-08,7.81E-08,-4.46E-08
264.9985,8.09E-08,-4.31E-08,7.95E-08,-4.36E-08,7.78E-08,-4.34E-08
270.0011,8.01E-08,-4.29E-08,7.90E-08,-4.28E-08,7.75E-08,-4.27E-08
274.9966,8.01E-08,-4.15E-08,7.85E-08,-4.18E-08,7.73E-08,-4.18E-08
279.9983,7.98E-08,-4.12E-08,7.83E-08,-4.12E-08,7.68E-08,-4.13E-08
284.9911,8.24E-08,-3.99E-08,7.84E-08,-4.02E-08,7.67E-08,-3.99E-08
289.9953,8.03E-08,-3.95E-08,7.78E-08,-3.94E-08,7.58E-08,-3.96E-08
294.9972,7.94E-08,-3.89E-08,7.70E-08,-3.87E-08,7.53E-08,-3.89E-08
300.0041,7.92E-08,-3.79E-08,7.64E-08,-3.82E-08,7.48E-08,-3.81E-08
