T [K],X'(1.0Hz),"X""'(1.0Hz)",X'(10.0Hz),"X""'(10.0Hz)",X'(99.9Hz),"X""'(99.9Hz)"
9.999274,7.54E-08,-1.18E-06,7.41E-08,-1.18E-06,7.13E-08,-1.18E-06
14.9979,1.43E-07,-7.86E-07,1.40E-07,-7.88E-07,1.38E-07,-7.87E-07
19.9979,1.60E-07,-5.89E-07,1.56E-07,-5.90E-07,1.54E-07,-5.90E-07
24.99883,1.66E-07,-4.71E-07,1.63E-07,-4.72E-07,1.61E-07,-4.71E-07
29.99947,1.70E-07,-3.92E-07,1.66E-07,-3.92E-07,1.63E-07,-3.92E-07
35.00159,1.72E-07,-3.35E-07,1.68E-07,-3.35E-07,1.64E-07,-3.35E-07
40.00174,1.73E-07,-2.93E-07,1.69E-07,-2.93E-07,1.65E-07,-2.92E-07
45.00185,1.73E-07,-2.60E-07,1.69E-07,-2.60E-07,1.65E-07,-2.60E-07
49.99974,1.73E-07,-2.34E-07,1.68E-07,-2.34E-07,1.64E-07,-2.33E-07
55.00188,1.71E-07,-2.12E-07,1.66E-07,-2.12E-07,1.62E-07,-2.12E-07
59.9989,1.66E-07,-1.94E-07,1.62E-07,-1.94E-07,1.59E-07,-1.94E-07
64.9983,1.62E-07,-1.79E-07,1.58E-07,-1.79E-07,1.53E-07,-1.79E-07
69.99734,1.57E-07,-1.66E-07,1.53E-07,-1.66E-07,1.48E-07,-1.66E-07
74.99841,1.52E-07,-1.55E-07,1.48E-07,-1.55E-07,1.44E-07,-1.55E-07
79.99794,1.48E-07,-1.45E-07,1.44E-07,-1.45E-07,1.40E-07,-1.45E-07
85.00258,1.43E-07,-1.37E-07,1.40E-07,-1.37E-07,1.37E-07,-1.37E-07
90.00277,1.39E-07,-1.29E-07,1.36E-07,-1.29E-07,1.32E-07,-1.29E-07
95.00065,1.35E-07,-1.23E-07,1.32E-07,-1.23E-07,1.28E-07,-1.22E-07
99.99924,1.31E-07,-1.16E-07,1.28E-07,-1.16E-07,1.25E-07,-1.16E-07
105.0041,1.27E-07,-1.11E-07,1.25E-07,-1.11E-07,1.22E-07,-1.11E-07
110.0021,1.24E-07,-1.06E-07,1.22E-07,-1.06E-07,1.19E-07,-1.06E-07
114.9988,1.22E-07,-1.01E-07,1.19E-07,-1.01E-07,1.17E-07,-1.01E-07
120.0064,1.20E-07,-9.72E-08,1.18E-07,-9.71E-08,1.15E-07,-9.68E-08
125.0047,1.19E-07,-9.28E-08,1.17E-07,-9.32E-08,1.14E-07,-9.30E-08
130.0046,1.17E-07,-8.96E-08,1.15E-07,-8.98E-08,1.13E-07,-8.99E-08
135.0145,1.15E-07,-8.61E-08,1.12E-07,-8.65E-08,1.10E-07,-8.64E-08
140.0039,1.13E-07,-8.30E-08,1.10E-07,-8.33E-08,1.09E-07,-8.33E-08
144.9965,1.10E-07,-8.03E-08,1.08E-07,-8.05E-08,1.06E-07,-8.00E-08
150.0043,1.07E-07,-7.79E-08,1.06E-07,-7.79E-08,1.04E-07,-7.71E-08
154.9993,1.05E-07,-7.51E-08,1.04E-07,-7.52E-08,1.02E-07,-7.49E-08
159.9995,1.03E-07,-7.27E-08,1.01E-07,-7.30E-08,9.99E-08,-7.27E-08
