T [K],X'(1.0Hz),"X""'(1.0Hz)",X'(10.0Hz),"X""'(10.0Hz)",X'(99.9Hz),"X""'(99.9Hz)"
9.999029,1.49E-06,1.60E-09,1.49E-06,5.94E-10,1.49E-06,9.60E-10
14.99686,1.11E-06,1.72E-09,1.11E-06,1.04E-09,1.10E-06,2.01E-09
19.99793,8.97E-07,2.52E-09,8.93E-07,1.37E-09,8.91E-07,1.93E-09
24.99858,7.66E-07,2.70E-09,7.61E-07,2.32E-09,7.58E-07,2.46E-09
30.00005,6.78E-07,3.22E-09,6.73E-07,2.82E-09,6.69E-07,2.79E-09
34.99981,6.15E-07,2.69E-09,6.09E-07,3.23E-09,6.04E-07,3.23E-09
40.00056,5.68E-07,3.61E-09,5.63E-07,3.39E-09,5.58E-07,3.56E-09
44.99988,5.29E-07,3.68E-09,5.24E-07,3.50E-09,5.17E-07,3.71E-09
50.00066,4.96E-07,3.70E-09,4.89E-07,3.73E-09,4.85E-07,3.97E-09
54.99784,4.66E-07,3.61E-09,4.60E-07,3.65E-09,4.54E-07,4.04E-09
59.99902,4.39E-07,3.71E-09,4.34E-07,3.60E-09,4.27E-07,4.02E-09
64.99715,4.15E-07,3.64E-09,4.10E-07,3.59E-09,4.05E-07,4.27E-09
69.995,3.94E-07,3.34E-09,3.89E-07,3.30E-09,3.84E-07,3.88E-09
74.99653,3.75E-07,3.60E-09,3.70E-07,3.22E-09,3.66E-07,3.97E-09
79.99553,3.57E-07,3.17E-09,3.52E-07,3.04E-09,3.48E-07,3.85E-09
84.99345,3.42E-07,3.36E-09,3.37E-07,2.97E-09,3.34E-07,3.38E-09
89.99118,3.27E-07,3.17E-09,3.23E-07,2.75E-09,3.19E-07,3.07E-09
94.99493,3.14E-07,2.79E-09,3.09E-07,2.58E-09,3.05E-07,3.04E-09
99.99546,3.01E-07,2.83E-09,2.98E-07,2.49E-09,2.95E-07,2.81E-09
104.9903,2.90E-07,2.59E-09,2.87E-07,2.42E-09,2.83E-07,2.43E-09
109.9988,2.80E-07,2.35E-09,2.76E-07,2.30E-09,2.74E-07,2.47E-09
114.996,2.71E-07,2.23E-09,2.68E-07,2.16E-09,2.65E-07,2.08E-09
119.9913,2.64E-07,2.25E-09,2.60E-07,2.04E-09,2.58E-07,2.23E-09
124.992,2.58E-07,2.53E-09,2.55E-07,2.02E-09,2.53E-07,2.14E-09
129.9737,2.51E-07,1.87E-09,2.48E-07,1.99E-09,2.46E-07,1.61E-09
134.9924,2.44E-07,2.13E-09,2.41E-07,1.84E-09,2.40E-07,2.34E-09
139.9984,2.37E-07,2.01E-09,2.34E-07,1.82E-09,2.32E-07,1.96E-09
144.9906,2.30E-07,1.78E-09,2.28E-07,1.73E-09,2.25E-07,1.84E-09
149.9932,2.24E-07,1.65E-09,2.22E-07,1.61E-09,2.19E-07,1.45E-09
154.9881,2.18E-07,1.63E-09,2.16E-07,1.50E-09,2.14E-07,1.57E-09
159.9865,2.13E-07,1.83E-09,2.11E-07,1.69E-09,2.09E-07,1.41E-09
164.9837,2.08E-07,1.46E-09,2.05E-07,1.46E-09,2.04E-07,1.52E-09
169.9804,2.03E-07,1.69E-09,2.02E-07,1.01E-09,1.99E-07,1.69E-09
174.9856,1.99E-07,1.53E-09,1.97E-07,1.65E-09,1.95E-07,1.39E-09
179.9794,1.94E-07,1.28E-09,1.93E-07,1.14E-09,1.91E-07,1.25E-09
184.9831,1.90E-07,1.65E-09,1.88E-07,1.35E-09,1.86E-07,1.56E-09
189.9845,1.87E-07,1.45E-09,1.85E-07,1.25E-09,1.83E-07,1.65E-09
194.9618,1.83E-07,1.40E-09,1.81E-07,1.24E-09,1.79E-07,1.21E-09
199.9773,1.80E-07,1.42E-09,1.78E-07,1.11E-09,1.76E-07,1.03E-09
204.979,1.76E-07,1.55E-09,1.75E-07,1.05E-09,1.73E-07,1.37E-09
209.9589,1.73E-07,1.23E-09,1.72E-07,1.16E-09,1.71E-07,7.16E-10
214.9813,1.71E-07,9.29E-10,1.69E-07,1.22E-09,1.67E-07,7.69E-10
219.983,1.68E-07,1.39E-09,1.66E-07,1.18E-09,1.65E-07,6.67E-10
224.9792,1.66E-07,9.16E-10,1.64E-07,1.23E-09,1.63E-07,1.51E-09
229.9806,1.63E-07,1.21E-09,1.61E-07,1.27E-09,1.60E-07,9.80E-10
234.984,1.61E-07,1.29E-09,1.59E-07,1.14E-09,1.57E-07,1.15E-09
239.9537,1.59E-07,1.43E-09,1.57E-07,1.21E-09,1.56E-07,5.62E-10
244.9803,1.57E-07,1.21E-09,1.55E-07,9.50E-10,1.53E-07,1.21E-09
249.9827,1.55E-07,1.71E-09,1.54E-07,1.07E-09,1.51E-07,1.28E-09
255.0113,1.53E-07,1.30E-09,1.51E-07,1.32E-09,1.50E-07,9.50E-10
260.0183,1.45E-07,1.94E-09,1.49E-07,1.58E-09,1.48E-07,1.40E-09
264.9852,1.49E-07,1.39E-09,1.48E-07,1.28E-09,1.47E-07,1.09E-09
269.992,1.48E-07,1.41E-09,1.47E-07,1.49E-09,1.45E-07,1.20E-09
274.9959,1.47E-07,1.37E-09,1.46E-07,1.29E-09,1.44E-07,1.19E-09
279.9703,1.45E-07,1.34E-09,1.44E-07,1.39E-09,1.42E-07,1.63E-09
284.9767,1.44E-07,1.69E-09,1.42E-07,1.56E-09,1.40E-07,1.24E-09
289.9796,1.42E-07,1.32E-09,1.40E-07,1.37E-09,1.38E-07,1.31E-09
294.9688,1.40E-07,1.35E-09,1.38E-07,1.12E-09,1.36E-07,1.44E-09
299.9682,1.39E-07,1.46E-09,1.36E-07,1.45E-09,1.34E-07,1.12E-09
