"","component 1","component 2"
"Bh",240.276498682191,699.465320442841
"Bh.sd",1.29161498961699,1.01452723244909
"DP",4.88397387064085,1.8655003822298
"DP.sd",1.1602236491791,1.01084156801475
"P",0.142509488677883,0.893451187746464
"P.sd",0.0203355836102154,0.0309821952585599
"S",0.990013739841941,0.893957904474301
"S.sd",0.17755941479284,0.0155206577590566
"OC.mean",0.276299383434603,0.723704321060125
"OC.sd",0.10890511488883,0.0982026213199431
"EC.mean",0.287806068538891,0.712199430139362
"EC.sd",0.142354442972791,0.0781448337869654
