"","component 1","component 2"
"Bh",538.784793528495,690.471461046825
"Bh.sd",1.39929595855525,1.00942443186168
"DP",7.45305991635989,1.80336096869686
"DP.sd",1.22077029544747,1.01161427454677
"P",0.132230596373373,0.880404553650499
"P.sd",0.0251735382885453,0.0284760939978908
"S",1.16059154198645,0.888746164328017
"S.sd",0.151119631208822,0.0122096828115984
"OC.mean",0.27719942892151,0.722799171250299
"OC.sd",0.0960746818947016,0.0829498535441335
"EC.mean",0.336193950265192,0.66380469658683
"EC.sd",0.166396734194505,0.0290851578101826
