"","component 1","component 2"
"Bh",339.444981376929,680.280617235558
"Bh.sd",1.29698764651152,1.01110699359424
"DP",5.37849900150869,1.82981657203209
"DP.sd",1.16474870550347,1.00975947991411
"P",0.124041495082353,0.898724862913877
"P.sd",0.0180649842917442,0.0241034550287805
"S",1.08167844444886,0.906562219520661
"S.sd",0.132289017860172,0.0133888046580339
"OC.mean",0.250082071333397,0.749918454921487
"OC.sd",0.0954258743115889,0.0818744321144532
"EC.mean",0.275627565412521,0.724373683069726
"EC.sd",0.137891085273116,0.0477980784518061
