tab	samples														
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site	result_quality	result_type
	255.9	0	73.1	301.2	This study	-19			17.9		SO-CMD-NORTH	BRa.31	BRa	g	i
	226.4	0	73.1	301.2	This study	-13			18.2		SO-CMD-NORTH	BRa.32	BRa	g	i
	227.9	0	73.1	301.2	This study	-33			18.5		SO-CMD-NORTH	BRa.33	BRa	g	i
	-31.1	0	73.1	301.2	This study	-19			19.3		SO-CMD-NORTH	BRa.34	BRa	g	i
	115.9	0	73.1	301.2	This study	-25			19.8		SO-CMD-NORTH	BRa.35	BRa	g	i
	226.9	0	73.1	301.2	This study	-29			20.3		SO-CMD-NORTH	BRa.36	BRa	g	i
	251.9	0	73.1	301.2	This study	-23			16.6		SO-CMD-NORTH	BRIC.1	BRIC	g	i
	-88.1	0	73.1	301.2	This study	-20			16.6		SO-CMD-NORTH	BRIC.2	BRIC	g	i
	238.9	0	73.1	301.2	This study	-20			16.54		SO-CMD-NORTH	BRIC.3	BRIC	g	i
	66.9	0	73.1	301.2	This study	-12			18.12		SO-CMD-NORTH	BRIC.4	BRIC	g	i
	-66.1	0	73.1	301.2	This study	-12			16.34		SO-CMD-NORTH	BRIC.5	BRIC	g	i
	-9.1	0	73.1	301.2	This study	-19			15.54		SO-CMD-NORTH	BRIC.6	BRIC	g	i
	101.6	0	73.1	301.2	This study	-12			15.53		SO-CMD-NORTH	BRIC.9	BRIC	g	i
	39.9	0	73.1	301.2	This study	-19			15.58		SO-CMD-NORTH	BRIC.10	BRIC	g	i
	-11.1	0	73.1	301.2	This study	-22			15.58		SO-CMD-NORTH	BRIC.11	BRIC	g	i
	-74.1	0	73.1	301.2	This study	-29			13.63		SO-CMD-NORTH	BRIC.12	BRIC	g	i
	-87.1	0	73.1	301.2	This study	-37			13.63		SO-CMD-NORTH	BRIC.13	BRIC	g	i
	-72.1	0	73.1	301.2	This study	-29			13.85		SO-CMD-NORTH	BRIC.14	BRIC	g	i
	-65.1	0	73.1	301.2	This study	-34			13.68		SO-CMD-NORTH	BRIC.15	BRIC	g	i
	134.9	0	73.1	301.2	This study	-17			13.63		SO-CMD-NORTH	BRIC.16	BRIC	g	i
	129.9	0	73.1	301.2	This study	-21			10.12		SO-CMD-NORTH	BRIC.17	BRIC	g	i
	141.9	0	73.1	301.2	This study	-21			10.12		SO-CMD-NORTH	BRIC.18	BRIC	g	i
	95.9	0	73.1	301.2	This study	-26			10.12		SO-CMD-NORTH	BRIC.19	BRIC	g	i
	-21.1	0	73.1	301.2	This study	-49			0.6		SO-CMD-NORTH	BRIC.20	BRIC	g	i
	-71.1	0	73.1	301.2	This study	-22			4.26		SO-CMD-NORTH	BRIC.21	BRIC	g	i
	-49.1	0	73.1	301.2	This study	-35			4.26		SO-CMD-NORTH	BRIC.22	BRIC	g	i
	-60.1	0	73.1	301.2	This study	-37			4.26		SO-CMD-NORTH	BRIC.23	BRIC	g	i
	-40.1	0	73.1	301.2	This study	-24			5.26		SO-CMD-NORTH	BRIC.24	BRIC	g	i
	-57.1	0	73.1	301.2	This study	-11			4.26		SO-CMD-NORTH	BRIC.25	BRIC	g	i
	-50.1	0	73.1	301.2	This study	-47			0.6		SO-CMD-NORTH	BRIC.26	BRIC	g	i
	-59.1	0	73.1	301.2	This study	-25			0.4		SO-CMD-NORTH	BRIC.27	BRIC	g	i
	-47.1	0	73.1	301.2	This study	-40			0.6		SO-CMD-NORTH	BRIC.28	BRIC	g	i
	-48.1	0	73.1	301.2	This study	-30			0.6		SO-CMD-NORTH	BRIC.29	BRIC	g	i
	-51.1	0	73.1	301.2	This study	-36			0.6		SO-CMD-NORTH	BRIC.30	BRIC	g	i
	-16.1	0	73.1	301.2	This study	-25			1.96		SO-CMD-NORTH	BRIC.31	BRIC	g	i
	222.9	0	73.1	301.2	This study	-37			1.6		SO-CMD-NORTH	BRIC.32	BRIC	g	i
	-70.1	0	73.1	301.2	This study	-34			1.6		SO-CMD-NORTH	BRIC.33	BRIC	g	i
	221.9	0	73.1	301.2	This study	-14			1.6		SO-CMD-NORTH	BRIC.34	BRIC	g	i
	118.9	0	73.1	301.2	This study	-13			1.6		SO-CMD-NORTH	BRIC.35	BRIC	g	i
	-69.1	0	73.1	301.2	This study	-22			0		SO-CMD-NORTH	BRIC.36	BRIC	g	i
	-59.1	0	73.1	301.2	This study	-31			0		SO-CMD-NORTH	BRIC.37	BRIC	g	i
	-64.1	0	73.1	301.2	This study	-21			0		SO-CMD-NORTH	BRIC.38	BRIC	g	i
	-61.1	0	73.1	301.2	This study	-22			0		SO-CMD-NORTH	BRIC.39	BRIC	g	i
	215.9	0	73.1	301.2	This study	-37			0		SO-CMD-NORTH	BRIC.40	BRIC	g	i
	253.9	0	73.1	301.2	This study	-12			0		SO-CMD-NORTH	BRIC.41	BRIC	g	i
