tab	samples														
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site	result_quality	result_type
	-26.1	0	73.1	301.2	This study	-18			1.2		SO-CMD-NORTH	BRa.1	BRa	g	i
	-13.1	0	73.1	301.2	This study	-53			1.4		SO-CMD-NORTH	BRa.2	BRa	g	i
	41.9	0	73.1	301.2	This study	-40			1.7		SO-CMD-NORTH	BRa.3	BRa	g	i
	23.9	0	73.1	301.2	This study	-17			1.9		SO-CMD-NORTH	BRa.4	BRa	g	i
	-43.1	0	73.1	301.2	This study	-36			2.1		SO-CMD-NORTH	BRa.5	BRa	g	i
	-89.1	0	73.1	301.2	This study	-33			2.7		SO-CMD-NORTH	BRa.6	BRa	g	i
	116.9	0	73.1	301.2	This study	-72			3.8		SO-CMD-NORTH	BRa.7	BRa	g	i
	46.9	0	73.1	301.2	This study	-20			4.2		SO-CMD-NORTH	BRa.8	BRa	g	i
	28.9	0	73.1	301.2	This study	-44			4.7		SO-CMD-NORTH	BRa.9	BRa	g	i
	-10.1	0	73.1	301.2	This study	-22			4.9		SO-CMD-NORTH	BRa.10	BRa	g	i
	8.9	0	73.1	301.2	This study	-25			4.6		SO-CMD-NORTH	BRa.11	BRa	g	i
	10.9	0	73.1	301.2	This study	-28			4.85		SO-CMD-NORTH	BRa.12	BRa	g	i
	-66.1	0	73.1	301.2	This study	-24			5.2		SO-CMD-NORTH	BRa.13	BRa	g	i
	96.9	0	73.1	301.2	This study	-55			5.8		SO-CMD-NORTH	BRa.14	BRa	g	i
	76.7	0	73.1	301.2	This study	-7			7.1		SO-CMD-NORTH	BRa.15	BRa	g	i
	115.9	0	73.1	301.2	This study	-65			7.7		SO-CMD-NORTH	BRa.16	BRa	g	i
	229	0	73.1	301.2	This study	-11			9.3		SO-CMD-NORTH	BRa.17	BRa	g	i
	-10.1	0	73.1	301.2	This study	-29			10.4		SO-CMD-NORTH	BRa.18	BRa	g	i
	-40.1	0	73.1	301.2	This study	-15			12.7		SO-CMD-NORTH	BRa.19	BRa	g	i
	126.9	0	73.1	301.2	This study	-46			12.9		SO-CMD-NORTH	BRa.20	BRa	g	i
	31.7	0	73.1	301.2	This study	-57			13.2		SO-CMD-NORTH	BRa.21	BRa	g	i
	114.1	0	73.1	301.2	This study	-62			14.2		SO-CMD-NORTH	BRa.22	BRa	g	i
	222.9	0	73.1	301.2	This study	-3			18.9		SO-CMD-NORTH	BRa.23	BRa	g	i
	115.8	0	73.1	301.2	This study	-26			14.7		SO-CMD-NORTH	BRa.24	BRa	g	i
	125.9	0	73.1	301.2	This study	-40			14.9		SO-CMD-NORTH	BRa.25	BRa	g	i
	134.9	0	73.1	301.2	This study	-30			15.9		SO-CMD-NORTH	BRa.26	BRa	g	i
	188.9	0	73.1	301.2	This study	-18			16.2		SO-CMD-NORTH	BRa.27	BRa	g	i
	253.9	0	73.1	301.2	This study	-38			16.7		SO-CMD-NORTH	BRa.28	BRa	g	i
	-86.1	0	73.1	301.2	This study	-20			17.1		SO-CMD-NORTH	BRa.29	BRa	g	i
