tab	sites																													
age	age_high	age_low	age_unit	analysts	citations	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	geologic_classes	lithologies	geologic_types
1075	1080	1040	Ma		This study	5.4	HT	219.8	35.5	22	34	34	34	0		32.4685	0	46.3852	"Bad River, Wisconsin"	-90.6337	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	BRa.10:BRa.11:BRa.12:BRa.13:BRa.14:BRa.15:BRa.16:BRa.17:BRa.18:BRa.19:BRa.1:BRa.20:BRa.21:BRa.22:BRa.23:BRa.24:BRa.25:BRa.26:BRa.27:BRa.28:BRa.29:BRa.2:BRa.31:BRa.32:BRa.33:BRa.34:BRa.35:BRa.36:BRa.3:BRa.4:BRa.5:BRa.7:BRa.8:BRa.9	BRa	pmagpy-4.2.17: demag_gui.v.3.0	BRa.10a:BRa.11a:BRa.12a:BRa.13a:BRa.14a:BRa.15a:BRa.16a:BRa.17a:BRa.18a:BRa.19a:BRa.1a:BRa.20a:BRa.21a:BRa.22a:BRa.23a:BRa.24a:BRa.25a:BRa.26a:BRa.27a:BRa.28a:BRa.29a:BRa.2a:BRa.31a:BRa.32a:BRa.33a:BRa.34a:BRa.35a:BRa.36a:BRa.3a:BRa.4a:BRa.5a:BRa.7a:BRa.8a:BRa.9a	Sedimentary	Siltstone	Sediment Layer
1075	1080	1040	Ma		This study	3.6	MT	241.8	36.7	49	33	33	33	0		32.3509	0	46.3852	"Bad River, Wisconsin"	-90.6337	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	BRa.10:BRa.11:BRa.12:BRa.13:BRa.14:BRa.15:BRa.16:BRa.17:BRa.18:BRa.19:BRa.1:BRa.20:BRa.21:BRa.22:BRa.23:BRa.25:BRa.26:BRa.27:BRa.28:BRa.29:BRa.2:BRa.31:BRa.32:BRa.33:BRa.34:BRa.35:BRa.36:BRa.3:BRa.4:BRa.5:BRa.7:BRa.8:BRa.9	BRa	pmagpy-4.2.17: demag_gui.v.3.0	BRa.10a:BRa.11a:BRa.12a:BRa.13a:BRa.14a:BRa.15a:BRa.16a:BRa.17a:BRa.18a:BRa.19a:BRa.1a:BRa.20a:BRa.21a:BRa.22a:BRa.23a:BRa.25a:BRa.26a:BRa.27a:BRa.28a:BRa.29a:BRa.2a:BRa.31a:BRa.32a:BRa.33a:BRa.34a:BRa.35a:BRa.36a:BRa.3a:BRa.4a:BRa.5a:BRa.7a:BRa.8a:BRa.9a	Sedimentary	Siltstone	Sediment Layer
1075	1080	1040	Ma		This study	5.4	HT	247.5	3	22	34	34	34	0		32.4679	100	46.3852	"Bad River, Wisconsin"	-90.6337	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	BRa.10:BRa.11:BRa.12:BRa.13:BRa.14:BRa.15:BRa.16:BRa.17:BRa.18:BRa.19:BRa.1:BRa.20:BRa.21:BRa.22:BRa.23:BRa.24:BRa.25:BRa.26:BRa.27:BRa.28:BRa.29:BRa.2:BRa.31:BRa.32:BRa.33:BRa.34:BRa.35:BRa.36:BRa.3:BRa.4:BRa.5:BRa.7:BRa.8:BRa.9	BRa	pmagpy-4.2.17: demag_gui.v.3.0	BRa.10a:BRa.11a:BRa.12a:BRa.13a:BRa.14a:BRa.15a:BRa.16a:BRa.17a:BRa.18a:BRa.19a:BRa.1a:BRa.20a:BRa.21a:BRa.22a:BRa.23a:BRa.24a:BRa.25a:BRa.26a:BRa.27a:BRa.28a:BRa.29a:BRa.2a:BRa.31a:BRa.32a:BRa.33a:BRa.34a:BRa.35a:BRa.36a:BRa.3a:BRa.4a:BRa.5a:BRa.7a:BRa.8a:BRa.9a	Sedimentary	Siltstone	Sediment Layer
1075	1080	1040	Ma		This study	3.6	MT	256.2	-12.5	49	33	33	33	0		32.3522	100	46.3852	"Bad River, Wisconsin"	-90.6337	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	BRa.10:BRa.11:BRa.12:BRa.13:BRa.14:BRa.15:BRa.16:BRa.17:BRa.18:BRa.19:BRa.1:BRa.20:BRa.21:BRa.22:BRa.23:BRa.25:BRa.26:BRa.27:BRa.28:BRa.29:BRa.2:BRa.31:BRa.32:BRa.33:BRa.34:BRa.35:BRa.36:BRa.3:BRa.4:BRa.5:BRa.7:BRa.8:BRa.9	BRa	pmagpy-4.2.17: demag_gui.v.3.0	BRa.10a:BRa.11a:BRa.12a:BRa.13a:BRa.14a:BRa.15a:BRa.16a:BRa.17a:BRa.18a:BRa.19a:BRa.1a:BRa.20a:BRa.21a:BRa.22a:BRa.23a:BRa.25a:BRa.26a:BRa.27a:BRa.28a:BRa.29a:BRa.2a:BRa.31a:BRa.32a:BRa.33a:BRa.34a:BRa.35a:BRa.36a:BRa.3a:BRa.4a:BRa.5a:BRa.7a:BRa.8a:BRa.9a	Sedimentary	Siltstone	Sediment Layer
1075	1080	1040	Ma		This study	30.8	HT	237.4	16.3	2	29	29	29	0		12.8807	0	46.3866	"Bad River, Wisconsin"	-90.6373	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	i	BRIC.10:BRIC.12:BRIC.13:BRIC.14:BRIC.17:BRIC.18:BRIC.19:BRIC.1:BRIC.20:BRIC.24:BRIC.25:BRIC.26:BRIC.27:BRIC.28:BRIC.29:BRIC.2:BRIC.30:BRIC.31:BRIC.32:BRIC.33:BRIC.34:BRIC.37:BRIC.38:BRIC.39:BRIC.40:BRIC.41:BRIC.5:BRIC.6:BRIC.9	BRIC	pmagpy-4.2.17: demag_gui.v.3.0	BRIC.10a:BRIC.12a:BRIC.13a:BRIC.14a:BRIC.17a:BRIC.18a:BRIC.19a:BRIC.1a:BRIC.20a:BRIC.24a:BRIC.25a:BRIC.26a:BRIC.27a:BRIC.28a:BRIC.29a:BRIC.2a:BRIC.30a:BRIC.31a:BRIC.32a:BRIC.33a:BRIC.34a:BRIC.37a:BRIC.38a:BRIC.39a:BRIC.40a:BRIC.41a:BRIC.5a:BRIC.6a:BRIC.9a	Sedimentary	Siltstone	Sediment Layer
1075	1080	1040	Ma		This study	6.7	MT	240.9	32.9	13	38	38	38	0		35.1567	0	46.3866	"Bad River, Wisconsin"	-90.6373	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	BRIC.10:BRIC.11:BRIC.12:BRIC.13:BRIC.14:BRIC.15:BRIC.16:BRIC.17:BRIC.18:BRIC.19:BRIC.1:BRIC.20:BRIC.21:BRIC.22:BRIC.23:BRIC.24:BRIC.25:BRIC.26:BRIC.27:BRIC.28:BRIC.29:BRIC.2:BRIC.30:BRIC.31:BRIC.32:BRIC.33:BRIC.34:BRIC.35:BRIC.36:BRIC.37:BRIC.38:BRIC.39:BRIC.3:BRIC.40:BRIC.41:BRIC.5:BRIC.6:BRIC.9	BRIC	pmagpy-4.2.17: demag_gui.v.3.0	BRIC.10a:BRIC.11a:BRIC.12a:BRIC.13a:BRIC.14a:BRIC.15a:BRIC.16a:BRIC.17a:BRIC.18a:BRIC.19a:BRIC.1a:BRIC.20a:BRIC.21a:BRIC.22a:BRIC.23a:BRIC.24a:BRIC.25a:BRIC.26a:BRIC.27a:BRIC.28a:BRIC.29a:BRIC.2a:BRIC.30a:BRIC.31a:BRIC.32a:BRIC.33a:BRIC.34a:BRIC.35a:BRIC.36a:BRIC.37a:BRIC.38a:BRIC.39a:BRIC.3a:BRIC.40a:BRIC.41a:BRIC.5a:BRIC.6a:BRIC.9a	Sedimentary	Siltstone	Sediment Layer
1075	1080	1040	Ma		This study	30.9	HT	235.4	-18.7	2	29	29	29	0		12.8489	100	46.3866	"Bad River, Wisconsin"	-90.6373	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	i	BRIC.10:BRIC.12:BRIC.13:BRIC.14:BRIC.17:BRIC.18:BRIC.19:BRIC.1:BRIC.20:BRIC.24:BRIC.25:BRIC.26:BRIC.27:BRIC.28:BRIC.29:BRIC.2:BRIC.30:BRIC.31:BRIC.32:BRIC.33:BRIC.34:BRIC.37:BRIC.38:BRIC.39:BRIC.40:BRIC.41:BRIC.5:BRIC.6:BRIC.9	BRIC	pmagpy-4.2.17: demag_gui.v.3.0	BRIC.10a:BRIC.12a:BRIC.13a:BRIC.14a:BRIC.17a:BRIC.18a:BRIC.19a:BRIC.1a:BRIC.20a:BRIC.24a:BRIC.25a:BRIC.26a:BRIC.27a:BRIC.28a:BRIC.29a:BRIC.2a:BRIC.30a:BRIC.31a:BRIC.32a:BRIC.33a:BRIC.34a:BRIC.37a:BRIC.38a:BRIC.39a:BRIC.40a:BRIC.41a:BRIC.5a:BRIC.6a:BRIC.9a	Sedimentary	Siltstone	Sediment Layer
1075	1080	1040	Ma		This study	6.5	MT	252.2	-14.4	14	38	38	38	0		35.3342	100	46.3866	"Bad River, Wisconsin"	-90.6373	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	BRIC.10:BRIC.11:BRIC.12:BRIC.13:BRIC.14:BRIC.15:BRIC.16:BRIC.17:BRIC.18:BRIC.19:BRIC.1:BRIC.20:BRIC.21:BRIC.22:BRIC.23:BRIC.24:BRIC.25:BRIC.26:BRIC.27:BRIC.28:BRIC.29:BRIC.2:BRIC.30:BRIC.31:BRIC.32:BRIC.33:BRIC.34:BRIC.35:BRIC.36:BRIC.37:BRIC.38:BRIC.39:BRIC.3:BRIC.40:BRIC.41:BRIC.5:BRIC.6:BRIC.9	BRIC	pmagpy-4.2.17: demag_gui.v.3.0	BRIC.10a:BRIC.11a:BRIC.12a:BRIC.13a:BRIC.14a:BRIC.15a:BRIC.16a:BRIC.17a:BRIC.18a:BRIC.19a:BRIC.1a:BRIC.20a:BRIC.21a:BRIC.22a:BRIC.23a:BRIC.24a:BRIC.25a:BRIC.26a:BRIC.27a:BRIC.28a:BRIC.29a:BRIC.2a:BRIC.30a:BRIC.31a:BRIC.32a:BRIC.33a:BRIC.34a:BRIC.35a:BRIC.36a:BRIC.37a:BRIC.38a:BRIC.39a:BRIC.3a:BRIC.40a:BRIC.41a:BRIC.5a:BRIC.6a:BRIC.9a	Sedimentary	Siltstone	Sediment Layer
