,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,BRIC,,,,,,,,,,,,,,,,,,,,,
site_name,Freda Sandstone intraclast conglomerate test,,,,,,,,,,,,,,,,,,,,,
site_lat,46.38664829,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-90.63727492,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,mag compass orientation (IGRF corrected),16.6,344,23.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86874688560846; 72.609105715928479; 55855.799846554793],-2.13125311439,insufficient data,341.9,nan
.2a,mag compass orientation (IGRF corrected),16.6,4,20.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86874688560846; 72.609105715928479; 55855.799846554793],-2.13125311439,insufficient data,1.9,nan
.3a,mag compass orientation (IGRF corrected),16.54,331,20.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86874688560846; 72.609105715928479; 55855.799846554793],-2.13125311439,insufficient data,328.9,nan
.4a,mag compass orientation (IGRF corrected),18.12,159,12.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86874688560846; 72.609105715928479; 55855.799846554793],-2.13125311439,insufficient data,156.9,nan
.5a,mag compass orientation (IGRF corrected),16.34,26,12.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,4.0,1.0,1.0,1.0,nan,nan,[357.86874688560846; 72.609105715928479; 55855.799846554793],-2.13125311439,insufficient data,23.9,nan
.6a,mag compass orientation (IGRF corrected),15.54,83,19.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,5.0,1.0,1.0,1.0,nan,nan,[357.8685855648996; 72.608938203230252; 55855.480492280301],-2.1314144351,insufficient data,80.9,nan
.8a,mag compass orientation (IGRF corrected),15.48,82,18.0,211.2,73.1,no,nan,-5.0,2016.0,8.0,5.0,1.0,1.0,1.0,nan,nan,[357.8685855648996; 72.608938203230252; 55855.480492280301],-2.1314144351,insufficient data,79.9,nan
